date,policy,transactions,fraud_transactions,fraud_value_usd,fraud_value_caught_usd,declines,false_declines,reviews,reviews_fraud,false_alarms,missed_fraud_cost_usd,decline_friction_usd,review_cost_usd,total_cost_usd
2018-05-17,rules,2948,116,14495.42,2185.2,0,0,50,4,46,14558.22,0.0,442.0,15000.22
2018-05-18,rules,3191,146,15528.79,597.6,0,0,50,1,49,17833.19,0.0,448.0,18281.19
2018-05-19,rules,2409,101,12959.31,3332.66,0,0,50,6,44,11538.66,0.0,438.0,11976.66
2018-05-20,rules,2795,68,7998.07,0.0,0,0,50,0,50,9358.07,0.0,450.0,9808.07
2018-05-21,rules,3160,81,18809.85,0.0,0,0,50,0,50,20429.85,0.0,450.0,20879.85
2018-05-22,rules,2866,142,21800.76,2345.4,0,0,50,4,46,22223.36,0.0,442.0,22665.36
2018-05-23,rules,2837,87,14819.91,1201.02,0,0,50,8,42,15214.88,0.0,434.0,15648.88
2018-05-24,rules,2683,108,18300.08,6540.3,0,0,50,9,41,13757.78,0.0,432.0,14189.78
2018-05-25,rules,3032,145,22075.16,1888.2,0,0,50,3,47,23032.96,0.0,444.0,23476.96
2018-05-26,rules,2364,109,14441.2,3425.4,0,0,50,6,44,13087.8,0.0,438.0,13525.8
2018-05-27,rules,2068,88,15779.98,6758.1,0,0,50,8,42,10637.88,0.0,434.0,11071.88
2018-05-28,rules,2177,66,17596.85,6789.6,0,0,50,7,43,12001.25,0.0,436.0,12437.25
2018-05-29,rules,2618,98,15711.02,2192.4,0,0,50,4,46,15406.62,0.0,442.0,15848.62
2018-05-30,rules,2739,122,22235.7,4100.4,0,0,50,7,43,20449.3,0.0,436.0,20885.3
2018-05-31,rules,2754,119,22012.04,4233.59,0,0,50,5,45,20068.45,0.0,440.0,20508.45
2018-05-01,logreg_expected_loss,3896,120,19920.36,5473.86,39,28,43,4,67,16554.5,746.81,379.0,17680.31
2018-05-02,logreg_expected_loss,3105,126,16138.26,3469.3,28,23,50,3,70,15034.96,1738.25,444.0,17217.21
2018-05-03,logreg_expected_loss,3783,94,12833.87,4055.74,46,37,50,4,83,10406.13,1342.5,442.0,12190.63
2018-05-04,logreg_expected_loss,3352,119,26956.38,4668.7,34,28,50,6,72,24439.68,1118.42,438.0,25996.1
2018-05-05,logreg_expected_loss,2575,54,10427.27,3618.44,27,15,50,3,62,7594.83,509.54,444.0,8548.37
2018-05-06,logreg_expected_loss,2259,69,7420.47,691.43,34,30,20,1,49,8011.03,775.86,178.0,8964.89
2018-05-07,logreg_expected_loss,3048,81,9461.97,2186.2,32,22,38,1,59,8677.78,614.44,340.0,9632.22
2018-05-08,logreg_expected_loss,2845,89,9915.63,1314.26,28,22,32,1,53,10243.37,704.16,286.0,11233.52
2018-05-09,logreg_expected_loss,2878,85,13627.96,5032.08,40,27,47,7,67,9909.88,812.57,409.0,11131.45
2018-05-10,logreg_expected_loss,2854,68,9407.05,3280.15,64,59,50,4,105,7314.89,1505.48,442.0,9262.38
2018-05-11,logreg_expected_loss,3233,114,16225.0,5652.12,72,47,49,6,90,12244.88,1552.14,429.0,14226.02
2018-05-12,logreg_expected_loss,2880,136,14011.61,3376.15,76,53,36,4,85,12823.46,1922.64,316.0,15062.09
2018-05-13,logreg_expected_loss,2988,77,10242.76,2397.62,352,338,18,2,354,9069.14,11907.76,158.0,21134.9
2018-05-14,logreg_expected_loss,3038,73,13652.88,4844.95,55,47,50,5,92,10017.93,1507.03,440.0,11964.97
2018-05-15,logreg_expected_loss,2931,94,10318.86,2808.16,61,48,50,3,95,9076.71,1488.63,444.0,11009.34
2018-05-16,logreg_expected_loss,3020,119,22231.47,5914.94,58,51,49,6,94,18448.52,1157.35,429.0,20034.87
2018-05-17,logreg_expected_loss,2948,116,14495.42,4112.76,71,46,50,4,92,12130.66,1848.5,442.0,14421.15
2018-05-18,logreg_expected_loss,3191,146,15528.79,2605.67,52,26,48,1,73,15305.13,866.24,430.0,16601.36
2018-05-19,logreg_expected_loss,2409,101,12959.31,3568.87,47,35,34,4,65,11098.44,1001.43,298.0,12397.87
2018-05-20,logreg_expected_loss,2795,68,7998.07,1621.72,655,645,16,1,660,7518.35,24248.74,142.0,31909.08
2018-05-21,logreg_expected_loss,3160,81,18809.85,9143.74,264,259,50,10,299,11006.12,8498.23,430.0,19934.35
2018-05-22,logreg_expected_loss,2866,142,21800.76,7568.78,61,49,50,5,94,16741.98,1429.81,440.0,18611.79
2018-05-23,logreg_expected_loss,2837,87,14819.91,5037.39,53,37,48,6,79,11094.51,925.67,420.0,12440.18
2018-05-24,logreg_expected_loss,2683,108,18300.08,8532.73,32,27,50,8,69,11683.35,785.07,434.0,12902.43
2018-05-25,logreg_expected_loss,3032,145,22075.16,11289.72,65,35,50,8,77,12941.43,1147.48,434.0,14522.91
2018-05-26,logreg_expected_loss,2364,109,14441.2,2574.56,39,32,31,3,60,13852.64,883.11,273.0,15008.75
2018-05-27,logreg_expected_loss,2068,88,15779.98,5996.8,38,30,23,6,47,11275.18,737.23,195.0,12207.4
2018-05-28,logreg_expected_loss,2177,66,17596.85,9797.54,20,17,28,10,35,8879.31,441.46,232.0,9552.77
2018-05-29,logreg_expected_loss,2618,98,15711.02,6167.98,32,25,50,12,63,11147.04,1820.2,426.0,13393.24
2018-05-30,logreg_expected_loss,2739,122,22235.7,5922.98,30,20,50,6,64,18444.72,844.53,438.0,19727.25
2018-05-31,logreg_expected_loss,2754,119,22012.04,2953.6,39,29,50,3,76,21184.44,1473.44,444.0,23101.88
2018-05-01,lightgbm_cutoffs,3896,120,19920.36,8788.9,70,12,50,13,49,12137.46,898.28,424.0,13459.74
2018-05-02,lightgbm_cutoffs,3105,126,16138.26,4929.58,93,12,50,6,56,12000.69,810.14,438.0,13248.83
2018-05-03,lightgbm_cutoffs,3783,94,12833.87,2646.27,53,21,50,7,64,11301.6,1000.02,436.0,12737.62
2018-05-04,lightgbm_cutoffs,3352,119,26956.38,18644.18,96,30,50,13,67,9138.2,1111.81,424.0,10674.01
2018-05-05,lightgbm_cutoffs,2575,54,10427.27,3479.78,34,11,50,3,58,7513.49,605.87,444.0,8563.36
2018-05-06,lightgbm_cutoffs,2259,69,7420.47,2793.09,24,8,50,8,50,5543.38,1204.57,434.0,7181.95
2018-05-07,lightgbm_cutoffs,3048,81,9461.97,2875.64,46,12,50,6,56,7418.34,811.97,438.0,8668.31
2018-05-08,lightgbm_cutoffs,2845,89,9915.63,3863.18,58,18,50,9,59,6870.45,578.07,432.0,7880.52
2018-05-09,lightgbm_cutoffs,2878,85,13627.96,7043.09,51,12,50,8,54,7360.87,269.44,434.0,8064.31
2018-05-10,lightgbm_cutoffs,2854,68,9407.05,6384.77,79,47,50,8,89,3598.27,1224.55,434.0,5256.82
2018-05-11,lightgbm_cutoffs,3233,114,16225.0,10016.92,101,41,50,9,82,7126.08,1153.24,432.0,8711.32
2018-05-12,lightgbm_cutoffs,2880,136,14011.61,4908.91,90,31,50,4,77,10570.7,1032.01,442.0,12044.71
2018-05-13,lightgbm_cutoffs,2988,77,10242.76,4455.4,37,14,50,11,53,6669.35,517.08,428.0,7614.44
2018-05-14,lightgbm_cutoffs,3038,73,13652.88,5604.82,51,19,50,9,60,8706.06,828.52,432.0,9966.57
2018-05-15,lightgbm_cutoffs,2931,94,10318.86,3206.68,47,17,50,14,53,8140.19,960.1,422.0,9522.29
2018-05-16,lightgbm_cutoffs,3020,119,22231.47,5707.47,49,16,50,14,52,17992.0,375.47,422.0,18789.46
2018-05-17,lightgbm_cutoffs,2948,116,14495.42,8006.16,70,31,50,16,65,7741.26,1560.32,418.0,9719.58
2018-05-18,lightgbm_cutoffs,3191,146,15528.79,8094.13,85,12,50,14,48,8642.67,416.04,422.0,9480.7
2018-05-19,lightgbm_cutoffs,2409,101,12959.31,4139.01,50,20,50,10,60,10060.3,745.02,430.0,11235.31
2018-05-20,lightgbm_cutoffs,2795,68,7998.07,4444.33,49,20,50,11,59,4135.74,600.94,428.0,5164.68
2018-05-21,lightgbm_cutoffs,3160,81,18809.85,11673.2,54,20,50,8,62,7932.65,1115.04,434.0,9481.69
2018-05-22,lightgbm_cutoffs,2866,142,21800.76,7895.32,111,36,50,13,73,15011.44,2229.05,424.0,17664.49
2018-05-23,lightgbm_cutoffs,2837,87,14819.91,10510.21,66,18,50,3,65,5035.7,1181.48,444.0,6661.18
2018-05-24,lightgbm_cutoffs,2683,108,18300.08,8261.68,61,18,50,18,50,11014.4,1664.64,414.0,13093.04
2018-05-25,lightgbm_cutoffs,3032,145,22075.16,10469.05,106,27,50,10,67,12746.11,1072.78,430.0,14248.89
2018-05-26,lightgbm_cutoffs,2364,109,14441.2,7605.7,68,16,50,14,52,7723.5,634.59,422.0,8780.09
2018-05-27,lightgbm_cutoffs,2068,88,15779.98,7421.17,58,14,50,9,55,9076.81,949.03,432.0,10457.84
2018-05-28,lightgbm_cutoffs,2177,66,17596.85,6536.03,47,27,50,9,68,11818.82,748.36,432.0,12999.18
2018-05-29,lightgbm_cutoffs,2618,98,15711.02,6254.03,64,19,50,7,62,10390.99,662.9,436.0,11489.88
2018-05-30,lightgbm_cutoffs,2739,122,22235.7,14311.93,80,30,50,14,66,9111.77,2324.72,422.0,11858.49
2018-05-31,lightgbm_cutoffs,2754,119,22012.04,10439.87,85,23,50,11,62,12514.17,1649.95,428.0,14592.12
2018-05-01,lightgbm_expected_loss,3896,120,19920.36,12573.51,104,33,50,6,77,8218.84,1884.35,438.0,10541.19
2018-05-02,lightgbm_expected_loss,3105,126,16138.26,9707.71,116,32,50,9,73,7108.55,1430.15,432.0,8970.7
2018-05-03,lightgbm_expected_loss,3783,94,12833.87,6038.82,79,40,50,6,84,7787.05,1306.75,438.0,9531.81
2018-05-04,lightgbm_expected_loss,3352,119,26956.38,19325.88,114,45,50,12,83,8414.5,1700.26,426.0,10540.76
2018-05-05,lightgbm_expected_loss,2575,54,10427.27,4301.27,45,19,50,3,66,6632.0,501.57,444.0,7577.57
2018-05-06,lightgbm_expected_loss,2259,69,7420.47,3116.41,41,17,37,1,53,5186.06,672.31,331.0,6189.37
2018-05-07,lightgbm_expected_loss,3048,81,9461.97,4459.75,64,27,44,4,67,5810.22,1233.37,388.0,7431.59
2018-05-08,lightgbm_expected_loss,2845,89,9915.63,5971.46,82,36,44,6,74,4696.17,964.95,384.0,6045.12
2018-05-09,lightgbm_expected_loss,2878,85,13627.96,8650.86,71,26,49,6,69,5669.1,572.22,429.0,6670.32
2018-05-10,lightgbm_expected_loss,2854,68,9407.05,6136.61,97,64,50,5,109,3880.44,1697.28,440.0,6017.71
2018-05-11,lightgbm_expected_loss,3233,114,16225.0,10972.57,125,61,50,7,104,6126.43,1473.98,436.0,8036.41
2018-05-12,lightgbm_expected_loss,2880,136,14011.61,7207.36,120,54,50,5,99,8114.24,1646.44,440.0,10200.68
2018-05-13,lightgbm_expected_loss,2988,77,10242.76,6728.5,52,26,46,8,64,4390.26,729.09,398.0,5517.35
2018-05-14,lightgbm_expected_loss,3038,73,13652.88,5790.38,65,29,50,5,74,8512.5,1015.26,440.0,9967.76
2018-05-15,lightgbm_expected_loss,2931,94,10318.86,4909.62,65,28,41,5,64,6459.24,1061.43,359.0,7879.67
2018-05-16,lightgbm_expected_loss,3020,119,22231.47,14229.88,75,33,50,16,67,9253.59,785.7,418.0,10457.29
2018-05-17,lightgbm_expected_loss,2948,116,14495.42,9913.31,95,50,50,13,87,5768.11,1470.54,424.0,7662.65
2018-05-18,lightgbm_expected_loss,3191,146,15528.79,7922.31,98,24,50,9,65,8884.49,791.96,432.0,10108.44
2018-05-19,lightgbm_expected_loss,2409,101,12959.31,5411.97,64,32,37,2,67,8891.34,808.8,329.0,10029.15
2018-05-20,lightgbm_expected_loss,2795,68,7998.07,5241.93,66,29,36,5,60,3286.13,607.05,314.0,4207.18
2018-05-21,lightgbm_expected_loss,3160,81,18809.85,12693.08,70,34,50,9,75,6854.78,2327.09,432.0,9613.87
2018-05-22,lightgbm_expected_loss,2866,142,21800.76,12338.47,148,58,50,8,100,10358.29,2995.89,434.0,13788.18
2018-05-23,lightgbm_expected_loss,2837,87,14819.91,10705.22,87,37,50,3,84,4800.69,1558.94,444.0,6803.63
2018-05-24,lightgbm_expected_loss,2683,108,18300.08,9960.43,82,24,50,6,68,9231.65,1786.72,438.0,11456.37
2018-05-25,lightgbm_expected_loss,3032,145,22075.16,17724.03,142,58,50,16,92,5283.13,2076.25,418.0,7777.39
2018-05-26,lightgbm_expected_loss,2364,109,14441.2,8842.55,82,28,38,10,56,6518.65,997.28,322.0,7837.93
2018-05-27,lightgbm_expected_loss,2068,88,15779.98,10619.07,72,25,35,9,51,5818.91,981.15,297.0,7097.06
2018-05-28,lightgbm_expected_loss,2177,66,17596.85,10137.66,62,36,33,8,61,8115.19,1062.46,281.0,9458.65
2018-05-29,lightgbm_expected_loss,2618,98,15711.02,9281.07,88,41,50,11,80,7251.95,1357.23,428.0,9037.18
2018-05-30,lightgbm_expected_loss,2739,122,22235.7,14733.79,96,43,50,11,82,8683.91,2127.31,428.0,11239.22
2018-05-31,lightgbm_expected_loss,2754,119,22012.04,12688.43,101,38,50,8,80,10299.61,2128.29,434.0,12861.9
